jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,,L,,Activites immobilieres,0,0,0,0,0,1,0,1,1,0,2,0,3,-2
2026-09-22,30,34003,C,Agde,Industrie manufacturiere,0,0,1,0,1,0,0,0,0,0,0,1,3,0
2026-09-22,30,34010,G,Aniane,"Commerce, reparation d'automobiles",0,0,0,0,2,0,0,0,0,0,0,1,3,0
2026-09-22,30,34013,G,Aspiran,"Commerce, reparation d'automobiles",0,0,0,0,1,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34014,N,Assas,Services administratifs et de soutien,0,0,0,0,0,1,0,0,0,0,0,2,3,-1
2026-09-22,30,34022,G,Baillargues,"Commerce, reparation d'automobiles",0,0,0,0,0,2,0,0,0,0,0,1,3,-2
2026-09-22,30,34022,I,Baillargues,Hebergement et restauration,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34027,L,Beaulieu,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34032,Q,Béziers,Sante humaine et action sociale,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34032,E,Béziers,"Eau, assainissement, dechets",2,0,0,0,0,1,0,0,0,0,0,0,3,1
2026-09-22,30,34037,L,Boujan-sur-Libron,Activites immobilieres,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34039,N,Bouzigues,Services administratifs et de soutien,0,0,0,0,0,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34057,Z,Castelnau-le-Lez,Secteur non renseigne,2,0,0,1,0,0,0,0,0,0,0,0,3,2
2026-09-22,30,34058,J,Castries,Information et communication,0,0,0,0,1,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34063,K,Caux,Activites financieres et d'assurance,2,0,0,0,0,0,0,0,0,0,0,1,3,2
2026-09-22,30,34063,I,Caux,Hebergement et restauration,0,0,0,1,1,0,0,0,0,0,0,1,3,0
2026-09-22,30,34077,G,Clapiers,"Commerce, reparation d'automobiles",0,0,0,0,1,0,0,0,0,0,0,2,3,0
2026-09-22,30,34079,D,Clermont-l'Hérault,Production et distribution d'energie,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34087,L,Cournonsec,Activites immobilieres,1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34088,Q,Cournonterral,Sante humaine et action sociale,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34088,F,Cournonterral,Construction,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34090,K,Le Crès,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34095,M,Fabrègues,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34101,G,Florensac,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34108,J,Frontignan,Information et communication,2,0,0,0,0,0,0,0,0,0,0,1,3,2
2026-09-22,30,34108,F,Frontignan,Construction,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34120,G,Jacou,"Commerce, reparation d'automobiles",0,0,0,0,1,0,0,0,0,0,0,2,3,0
2026-09-22,30,34120,K,Jacou,Activites financieres et d'assurance,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34120,N,Jacou,Services administratifs et de soutien,1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34123,F,Juvignac,Construction,0,0,0,0,2,1,0,0,0,0,0,0,3,-1
2026-09-22,30,34129,P,Lattes,Enseignement,0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34129,H,Lattes,Transports et entreposage,3,0,0,0,0,0,0,0,0,0,0,0,3,3
2026-09-22,30,34145,S,Lunel,Autres activites de services,0,0,1,0,1,0,0,0,0,0,0,1,3,0
