jour_fin,fenetre_jours,code_commune,section_naf,nom_commune,libelle_section_naf,nb_creations,nb_immatriculations,nb_transferts,nb_ventes_fonds,nb_modifications,nb_radiations,nb_sauvegardes,nb_redressements,nb_liquidations,nb_plans_cession,nb_defaillances,nb_depots_comptes,nb_evenements,solde_net
2026-09-22,30,34301,M,Sète,"Activites specialisees, scientifiques et techniques",0,0,0,0,0,0,0,0,0,0,0,3,3,0
2026-09-22,30,34301,R,Sète,"Arts, spectacles et activites recreatives",1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34307,J,Sussargues,Information et communication,0,0,0,0,1,0,0,0,0,0,0,2,3,0
2026-09-22,30,34309,G,Teyran,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34337,C,Villeneuve-lès-Maguelone,Industrie manufacturiere,0,0,0,0,0,1,0,0,0,0,0,1,3,-1
2026-09-22,30,34344,M,La Grande-Motte,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,0,0,0,0,0,0,2,3,1
2026-09-22,30,34344,I,La Grande-Motte,Hebergement et restauration,1,0,0,0,1,0,0,0,0,0,0,0,3,1
2026-09-22,30,34003,F,Agde,Construction,0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34003,N,Agde,Services administratifs et de soutien,2,0,0,0,0,0,0,0,0,0,0,0,2,2
2026-09-22,30,34003,H,Agde,Transports et entreposage,2,0,0,0,0,0,0,0,0,0,0,0,2,2
2026-09-22,30,34010,G,Aniane,"Commerce, reparation d'automobiles",0,0,0,0,2,0,0,0,0,0,0,0,2,0
2026-09-22,30,34013,G,Aspiran,"Commerce, reparation d'automobiles",0,0,0,0,1,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34022,G,Baillargues,"Commerce, reparation d'automobiles",0,0,0,0,0,1,0,0,0,0,0,1,2,-1
2026-09-22,30,34023,I,Balaruc-les-Bains,Hebergement et restauration,0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34024,G,Balaruc-le-Vieux,"Commerce, reparation d'automobiles",0,0,0,0,0,0,0,0,0,0,0,2,2,0
2026-09-22,30,34039,N,Bouzigues,Services administratifs et de soutien,0,0,0,0,0,1,0,0,0,0,0,0,2,-1
2026-09-22,30,34052,G,Capestang,"Commerce, reparation d'automobiles",0,0,1,0,1,0,0,0,0,0,0,0,2,0
2026-09-22,30,34058,M,Castries,"Activites specialisees, scientifiques et techniques",1,0,0,0,0,0,0,0,0,0,0,1,2,1
